Read	Length	Count
R1	138	240076
R1	142	28958721
R1	126	94894
R1	91	25601
R1	119	79108
R1	127	97606
R1	125	92192
R1	141	731109
R1	54	9698
R1	124	87953
R1	128	98897
R1	121	84041
R1	97	34985
R1	98	37164
R1	132	101628
R1	120	81524
R1	139	620583
R1	73	10803
R1	136	113268
R1	135	109194
R1	92	27926
R1	140	93150
R1	117	73919
R1	122	86078
R1	94	30323
R1	131	103762
R1	109	57066
R1	113	65011
R1	112	61532
R1	55	9126
R1	114	66888
R1	88	22168
R1	133	105327
R1	67	9156
R1	115	70965
R1	129	100280
R1	58	8615
R1	105	49115
R1	116	72286
R1	103	44813
R1	107	51285
R1	38	8558
R1	134	103599
R1	110	59587
R1	35	8214
R1	60	8372
R1	111	60746
R1	56	9205
R1	61	8875
R1	87	21981
R1	108	54607
R1	50	12824
R1	118	76959
R1	137	141838
R1	130	99606
R1	104	47680
R1	85	18732
R1	100	39847
R1	40	12674
R1	96	33456
R1	101	42416
R1	102	43846
R1	79	13453
R1	62	8759
R1	90	24564
R1	78	12609
R1	71	10138
R1	63	8681
R1	69	9329
R1	75	11590
R1	106	49335
R1	77	12472
R1	68	9367
R1	99	38279
R1	53	9706
R1	95	31982
R1	72	10405
R1	93	29603
R1	89	23261
R1	57	8697
R1	65	8820
R1	81	15513
R1	123	86260
R1	80	13833
R1	83	17123
R1	64	8705
R1	49	12556
R1	59	8688
R1	41	12868
R1	51	10923
R1	43	14361
R1	84	17664
R1	70	9666
R1	52	9723
R1	39	11428
R1	48	12934
R1	86	20406
R1	36	8116
R1	45	16722
R1	82	15952
R1	74	10618
R1	42	11455
R1	76	11531
R1	66	9106
R1	47	12614
R1	46	14743
R1	37	8182
R1	44	15501
R2	138	275155
R2	142	28741240
R2	126	95944
R2	37	6627
R2	119	79026
R2	139	846250
R2	141	827846
R2	127	98170
R2	125	91658
R2	124	87582
R2	121	82706
R2	97	32055
R2	58	7535
R2	98	33704
R2	132	106058
R2	120	81303
R2	140	100822
R2	135	114897
R2	92	25453
R2	117	74420
R2	122	85043
R2	109	51633
R2	113	62630
R2	112	60026
R2	128	101034
R2	45	6963
R2	114	65224
R2	88	21066
R2	133	108930
R2	115	69166
R2	136	119368
R2	90	23034
R2	101	38856
R2	105	45340
R2	116	71558
R2	107	47042
R2	110	56761
R2	73	10318
R2	111	58144
R2	131	108161
R2	108	49572
R2	65	8624
R2	86	18665
R2	118	77495
R2	137	151874
R2	103	41762
R2	85	17881
R2	100	36824
R2	96	30707
R2	102	40000
R2	104	44013
R2	71	10313
R2	60	7793
R2	76	11533
R2	130	102873
R2	56	7675
R2	129	103278
R2	77	12571
R2	69	9221
R2	78	12501
R2	61	8081
R2	106	45231
R2	68	9021
R2	99	35438
R2	89	22093
R2	94	27695
R2	75	11281
R2	43	6881
R2	134	108610
R2	93	26796
R2	81	14761
R2	95	29347
R2	82	15269
R2	83	16265
R2	123	85513
R2	80	13634
R2	36	6661
R2	79	12911
R2	48	7044
R2	55	7472
R2	62	8181
R2	42	6925
R2	53	7296
R2	87	20815
R2	46	6708
R2	74	11063
R2	40	6834
R2	91	23447
R2	35	6828
R2	72	10542
R2	57	7519
R2	39	6994
R2	67	9016
R2	84	17244
R2	50	7133
R2	38	6725
R2	63	8197
R2	64	8417
R2	49	6944
R2	70	9449
R2	52	7232
R2	54	7439
R2	51	7308
R2	47	6896
R2	44	6972
R2	59	7494
R2	41	6903
R2	66	9251
